emg
519.00
515.00
519.00
511.00
508.00
516.00
512.00
514.00
502.00
516.00
499.00
513.00
497.00
516.00
495.00
516.00
500.00
506.00
503.00
509.00
496.00
508.00
500.00
507.00
495.00
513.00
503.00
509.00
496.00
507.00
498.00
512.00
495.00
515.00
504.00
510.00
494.00
515.00
498.00
511.00
492.00
512.00
492.00
505.00
492.00
512.00
488.00
514.00
497.00
513.00
496.00
516.00
494.00
506.00
489.00
510.00
496.00
515.00
499.00
513.00
490.00
508.00
492.00
507.00
493.00
514.00
490.00
501.00
486.00
514.00
500.00
505.00
491.00
513.00
497.00
514.00
492.00
515.00
489.00
509.00
494.00
514.00
489.00
513.00
494.00
506.00
493.00
513.00
491.00
507.00
488.00
505.00
485.00
508.00
484.00
507.00
487.00
508.00
490.00
505.00
484.00
508.00
490.00
508.00
490.00
510.00
488.00
512.00
489.00
508.00
486.00
510.00
484.00
508.00
495.00
506.00
483.00
510.00
488.00
508.00
491.00
513.00
487.00
511.00
489.00
514.00
489.00
506.00
490.00
513.00
488.00
511.00
497.00
513.00
496.00
514.00
499.00
511.00
494.00
517.00
495.00
518.00
491.00
511.00
495.00
512.00
496.00
513.00
491.00
520.00
493.00
518.00
495.00
512.00
492.00
508.00
499.00
512.00
494.00
523.00
488.00
514.00
492.00
515.00
493.00
513.00
493.00
515.00
493.00
518.00
497.00
516.00
488.00
512.00
493.00
516.00
491.00
518.00
495.00
518.00
492.00
525.00
496.00
512.00
498.00
515.00
493.00
519.00
498.00
518.00
494.00
514.00
500.00
519.00
494.00
517.00
498.00
518.00
500.00
517.00
499.00
514.00
499.00
518.00
500.00
515.00
497.00
515.00
501.00
520.00
494.00
517.00
499.00
515.00
492.00
512.00
502.00
517.00
495.00
517.00
500.00
515.00
498.00
511.00
502.00
513.00
492.00
511.00
504.00
521.00
495.00
517.00
502.00
514.00
497.00
516.00
501.00
515.00
497.00
513.00
498.00
520.00
497.00
510.00
506.00
520.00
498.00
518.00
500.00
513.00
497.00
511.00
495.00
516.00
495.00
513.00
497.00
517.00
495.00
512.00
498.00
515.00
494.00
514.00
496.00
516.00
495.00
518.00
496.00
517.00
493.00
516.00
498.00
519.00
493.00
517.00
498.00
521.00
496.00
518.00
497.00
516.00
496.00
516.00
500.00
519.00
494.00
519.00
496.00
518.00
500.00
518.00
502.00
520.00
498.00
517.00
499.00
520.00
499.00
521.00
500.00
520.00
500.00
520.00
502.00
522.00
500.00
521.00
501.00
524.00
501.00
518.00
505.00
520.00
499.00
520.00
505.00
523.00
502.00
526.00
507.00
523.00
504.00
525.00
505.00
527.00
509.00
526.00
508.00
526.00
507.00
527.00
509.00
526.00
508.00
529.00
512.00
531.00
510.00
529.00
512.00
526.00
512.00
531.00
511.00
528.00
511.00
529.00
508.00
535.00
509.00
516.00
519.00
525.00
498.00
531.00
523.00
528.00
498.00
522.00
509.00
531.00
507.00
528.00
509.00
533.00
507.00
526.00
