x, y, z
55, 60, 403
39, 52, 300
-7, -41, 201
34, 8, 227
15, 16, 204
11, 22, 231
-3, 12, 217
1, 1, 226
4, -3, 220
6, -3, 215
9, -7, 213
7, -1, 217
7, 3, 215
8, 3, 220
6, 2, 221
7, 1, 218
6, 2, 218
8, 1, 218
7, 2, 218
6, 0, 219
7, 1, 218
4, 0, 219
7, 0, 217
7, 1, 217
5, 2, 217
7, 3, 221
7, 2, 219
7, 4, 217
8, 1, 218
6, 1, 218
7, 0, 220
7, 1, 219
7, 2, 218
7, 1, 219
5, 0, 217
7, 0, 219
7, 2, 218
6, 1, 217
7, 1, 217
7, 1, 219
9, 1, 217
9, 1, 219
6, 2, 220
6, 1, 221
6, 1, 221
9, -1, 218
7, 1, 218
8, 0, 218
7, 1, 217
8, 1, 218
7, 2, 218
8, 1, 219
9, 0, 219
7, -1, 218
10, 2, 219
7, 0, 217
6, 2, 217
7, 0, 219
7, 0, 219
7, 2, 218
8, 1, 218
6, 2, 220
7, 0, 220
7, 1, 218
7, 2, 216
5, 2, 219
6, 1, 217
7, 1, 218
8, 2, 219
6, 1, 218
8, 0, 219
6, 1, 220
8, 0, 219
8, 1, 219
9, 1, 218
8, 2, 218
7, -1, 221
6, 1, 219
5, 0, 218
9, -2, 219
8, 1, 218
5, 1, 218
6, 2, 216
7, 0, 218
7, 2, 217
6, 3, 216
6, 1, 217
8, 1, 218
8, 1, 216
7, 1, 219
9, 1, 218
8, 1, 219
8, 0, 219
8, 1, 221
10, -1, 220
8, 0, 220
9, -1, 218
8, 1, 218
7, 0, 218
8, 0, 218
8, 1, 216
9, 0, 221
10, 3, 219
9, 3, 221
7, 2, 225
7, 4, 231
12, -23, 242
0, -13, 289
-36, -91, 411
-15, -8, 408
5, 19, 455
-9, 18, 428
-7, 23, 414
-17, 13, 390
-14, 12, 314
-12, 6, 270
-10, -2, 247
1, -4, 223
3, -2, 188
3, -7, 147
8, -3, 121
6, -3, 112
8, 1, 109
7, -1, 106
17, 2, 89
27, 7, 83
25, -1, 71
29, 3, 72
30, 2, 72
30, 1, 82
28, 10, 96
22, 15, 123
23, 24, 141
15, 31, 156
6, 50, 192
1, 50, 199
1, 55, 203
4, 47, 205
12, 36, 213
12, 34, 213
11, 32, 218
15, 28, 225
15, 26, 227
14, 26, 226
15, 27, 220
17, 26, 219
16, 20, 219
21, 13, 218
23, 11, 219
21, 13, 219
17, 23, 219
17, 19, 228
19, 22, 227
17, 26, 225
19, 29, 222
18, 27, 224
16, 30, 220
15, 29, 221
18, 27, 219
17, 26, 216
18, 28, 216
18, 21, 215
16, 22, 212
21, 21, 213
20, 20, 217
20, 21, 216
20, 22, 217
20, 22, 218
16, 26, 219
17, 27, 220
16, 25, 214
17, 24, 216
17, 20, 215
16, 25, 223
15, 29, 226
14, 30, 222
14, 29, 222
14, 29, 223
15, 24, 220
17, 23, 215
17, 20, 222
17, 23, 222
15, 27, 224
17, 25, 223
18, 24, 218
16, 24, 213
17, 23, 215
20, 20, 211
19, 17, 207
19, 15, 205
22, 17, 192
18, 19, 187
15, 17, 182
12, 14, 168
17, 12, 153
18, 6, 142
21, -2, 122
24, -18, 67
29, -23, 54
30, -23, 46
16, -11, 54
5, 10, 73
-7, 31, 97
-8, 39, 180
-16, 45, 186
-22, 34, 198
-24, 35, 223
-29, 44, 254
-44, 38, 290
-22, 39, 328
-12, -8, 329
0, -11, 354
4, -21, 341
4, -8, 302
3, -22, 300
0, -21, 300
8, -17, 293
16, -35, 308
13, -40, 276
-30, 10, 405
28, -31, 286
28, -19, 262
24, -1, 205
28, 46, 197
4, 24, 195
9, 3, 221
4, -5, 232
2, -16, 220
5, -14, 224
6, -14, 220
7, -9, 211
9, -7, 214
6, -5, 214
6, -3, 219
7, -5, 223
7, -3, 221
9, -3, 222
8, -2, 220
7, -4, 216
7, -2, 217
6, -2, 218
6, -2, 220
6, -2, 222
7, -2, 219
5, -2, 220
7, -3, 218
7, -1, 218
7, -2, 219
8, -2, 217
6, -2, 221
7, -1, 220
9, -2, 218
7, -1, 217
7, -1, 218
7, -1, 219
7, -1, 216
6, -1, 217
8, -3, 218
6, -2, 220
8, -3, 218
8, -1, 217
10, -3, 220
7, -2, 219
8, -1, 218
8, -2, 216
6, -1, 219
8, -1, 219
9, 2, 215
5, 0, 217
8, -3, 218
7, -2, 220
8, 1, 215
7, -3, 218
7, 0, 217
6, -2, 218
6, -2, 219
7, -2, 219
8, -2, 219
8, 0, 219
9, -1, 221
8, -1, 221
9, -1, 221
12, 2, 235
15, 12, 244
21, 15, 265
17, 24, 298
25, 11, 328
13, 3, 351
19, 11, 391
23, -28, 447
19, -30, 474
-9, -18, 439
-9, -7, 411
-12, -1, 372
-10, -10, 287
-11, -21, 265
-5, -34, 212
3, -36, 187
0, -19, 149
-4, -13, 123
1, -8, 105
7, 1, 92
9, 7, 67
23, 8, 46
31, -6, 42
23, 4, 26
25, 12, 42
22, 28, 72
18, 34, 93
13, 46, 110
8, 53, 123
5, 61, 152
7, 59, 159
7, 53, 168
6, 48, 172
7, 54, 197
10, 55, 203
12, 53, 212
12, 50, 221
17, 49, 221
22, 41, 225
23, 32, 218
23, 34, 216
24, 33, 220
21, 27, 218
26, 25, 218
25, 26, 218
22, 26, 215
22, 30, 219
14, 31, 216
16, 34, 215
18, 32, 214
17, 31, 222
14, 36, 221
14, 37, 226
14, 32, 230
14, 33, 224
16, 31, 223
16, 33, 220
16, 33, 223
16, 31, 224
15, 29, 225
20, 26, 221
19, 25, 220
20, 22, 217
21, 25, 218
18, 26, 220
17, 29, 219
18, 29, 221
17, 29, 215
17, 30, 215
14, 31, 216
16, 31, 217
15, 29, 218
16, 29, 220
13, 30, 218
16, 32, 216
13, 32, 215
15, 29, 217
17, 24, 209
15, 25, 213
13, 26, 213
13, 24, 207
15, 22, 202
18, 20, 199
14, 18, 188
11, 19, 184
7, 18, 175
6, 18, 171
5, 17, 159
7, 14, 144
7, 7, 131
8, 4, 110
10, -6, 85
9, -7, 72
7, -3, 69
3, 6, 77
4, 13, 94
2, 17, 110
2, 22, 121
2, 19, 135
0, 13, 158
-2, 10, 178
-22, 9, 227
-9, 14, 302
-17, -1, 299
-25, -29, 337
-36, -39, 301
-16, -30, 318
-13, -34, 342
-6, -37, 318
4, -44, 313
10, -67, 293
7, -61, 282
12, -57, 267
13, -50, 256
13, -42, 249
19, -47, 261
13, -50, 245
4, -33, 321
9, -52, 227
16, -34, 214
13, -35, 224
8, -31, 210
6, -25, 205
2, -25, 209
3, -36, 218
2, -37, 220
4, -36, 215
4, -37, 213
4, -34, 213
7, -34, 215
5, -31, 212
6, -32, 213
6, -31, 212
5, -29, 220
5, -27, 216
5, -28, 215
8, -26, 216
2, -30, 214
6, -27, 215
7, -28, 217
7, -29, 218
7, -27, 215
5, -27, 216
5, -27, 216
6, -28, 219
7, -26, 216
7, -26, 216
7, -26, 214
6, -23, 214
10, -21, 219
15, -20, 222
10, -20, 221
10, -19, 213
10, -19, 218
7, -19, 217
6, -22, 217
6, -22, 216
7, -22, 214
8, -19, 218
8, -20, 220
6, -21, 219
8, -18, 218
7, -19, 216
8, -18, 215
10, -18, 218
8, -16, 218
9, -17, 216
6, -18, 216
7, -17, 217
8, -17, 218
7, -20, 216
7, -17, 218
8, -17, 216
8, -18, 216
8, -15, 217
8, -17, 221
9, -15, 217
6, -19, 215
8, -14, 216
8, -13, 218
8, -12, 217
7, -14, 215
7, -12, 211
8, -13, 218
12, -11, 223
8, -11, 217
7, -12, 217
8, -11, 221
9, -9, 222
12, -9, 225
17, -8, 243
19, -8, 269
36, -15, 304
45, -6, 418
62, -12, 511
39, 3, 511
13, -8, 511
14, 6, 511
6, 1, 511
4, 5, 466
-22, -22, 301
-11, -31, 242
9, -59, 135
5, -62, 76
-4, -51, 14
10, -61, 0
17, -52, 4
13, -39, -20
5, 0, -36
13, 7, -25
16, 22, -9
18, 34, 15
15, 47, 42
16, 62, 104
12, 70, 128
7, 78, 148
4, 93, 174
2, 90, 184
3, 83, 186
9, 71, 191
17, 56, 209
16, 56, 213
21, 53, 221
24, 44, 234
23, 38, 238
24, 33, 230
27, 37, 234
28, 30, 236
33, 28, 239
38, 30, 232
36, 30, 228
32, 33, 222
34, 33, 223
36, 32, 224
35, 28, 221
32, 32, 217
30, 30, 212
28, 32, 211
31, 32, 215
29, 34, 218
26, 32, 222
21, 31, 222
27, 31, 221
27, 30, 221
26, 31, 217
28, 29, 218
28, 27, 217
30, 23, 213
31, 23, 217
26, 27, 217
29, 25, 211
30, 25, 210
27, 31, 209
28, 29, 212
29, 32, 214
24, 35, 216
24, 37, 215
20, 33, 209
21, 37, 206
21, 33, 206
21, 32, 202
20, 31, 194
20, 29, 186
19, 26, 178
21, 11, 154
22, 10, 137
21, 4, 118
20, -5, 105
21, -10, 96
16, -5, 97
9, 1, 114
11, 0, 122
10, 3, 119
13, 5, 127
18, 2, 145
17, 4, 176
18, 13, 194
8, 16, 196
-17, 4, 181
20, 11, 270
3, 14, 243
9, 35, 264
20, 36, 321
14, 16, 302
23, 12, 293
15, 9, 295
18, 3, 305
16, 5, 301
17, -1, 290
5, -10, 245
5, 6, 229
11, -10, 260
10, -8, 264
7, -4, 259
6, 2, 261
-4, -48, 360
20, -52, 400
30, -1, 230
25, -27, 139
11, -5, 132
9, 3, 112
4, -3, 141
20, -47, 420
2, 16, 318
0, -29, 223
-4, -14, 171
4, -7, 218
6, -11, 229
2, -9, 229
4, -11, 226
6, -9, 220
5, -6, 207
3, -10, 211
5, -11, 221
7, -7, 224
3, -11, 214
4, -7, 215
4, -6, 215
3, -6, 217
3, -3, 218
7, -3, 219
6, -5, 218
6, -6, 219
7, -3, 215
5, -3, 218
5, -3, 217
4, -5, 218
5, -3, 217
4, -1, 217
5, -2, 218
4, -1, 220
6, -1, 218
5, -2, 217
5, -4, 217
5, -3, 218
7, -2, 218
4, -3, 218
5, -1, 217
5, 0, 218
4, -1, 217
6, -2, 218
6, 1, 213
6, 0, 218
6, 1, 219
6, 0, 219
5, -1, 218
6, -1, 218
4, 0, 219
6, -1, 218
7, -3, 218
6, -1, 217
7, -1, 218
5, -1, 218
6, -3, 218
4, 0, 218
6, -1, 220
5, -2, 216
4, -1, 218
6, -2, 218
4, -1, 216
5, 0, 217
6, 1, 218
3, -1, 217
5, -1, 219
6, -3, 216
5, -3, 221
6, -4, 218
7, 0, 220
6, -2, 219
7, -1, 220
6, -2, 218
7, -1, 214
6, -2, 217
11, 0, 228
-6, -2, 207
5, 0, 216
4, -1, 221
4, -1, 220
7, -1, 219
7, -4, 220
6, -2, 216
8, -2, 219
6, 0, 221
6, -1, 232
10, -3, 222
7, 0, 219
9, 2, 216
24, 4, 221
14, 0, 240
-14, -18, 221
3, 1, 221
5, 3, 217
4, -1, 221
-4, 0, 219
4, 2, 216
-4, -1, 217
0, -1, 218
1, 0, 219
3, 2, 216
3, -1, 221
3, 1, 218
4, -2, 221
4, -1, 219
4, 2, 217
3, 2, 219
3, 4, 215
2, -6, 222
0, -3, 220
-1, -9, 221
6, 3, 216
3, 0, 219
5, 0, 218
2, -1, 220
3, -1, 219
3, 2, 218
3, 1, 218
4, 1, 217
3, -1, 220
5, -1, 217
3, 1, 218
3, 2, 218
4, 0, 217
3, 1, 216
4, 2, 218
4, 0, 219
3, 0, 221
4, -1, 220
3, 1, 217
4, 3, 215
5, 0, 218
3, 1, 217
5, -3, 219
1, -8, 226
6, 13, 210
9, 10, 211
3, 19, 217
-10, -19, 225
-2, -44, 256
27, 10, 278
3, -1, 217
-27, -25, 233
5, 6, 213
5, 6, 214
4, 1, 218
2, -5, 222
2, -4, 224
5, 4, 217
4, 1, 216
3, -4, 221
4, 1, 217
4, 2, 217
3, 2, 217
3, 1, 219
4, 1, 218
4, 1, 220
3, 1, 218
4, 1, 217
4, 1, 216
5, 2, 216
5, 1, 220
4, 2, 220
3, 2, 220
3, 0, 218
4, 1, 218
5, 2, 218
3, 0, 220
3, 0, 217
4, 1, 219
3, 0, 219
2, 0, 219
4, 1, 217
4, 1, 219
5, 1, 217
5, 1, 218
3, 1, 218
3, 0, 219
5, 0, 218
4, 1, 219
3, 1, 218
4, 3, 216
4, 1, 218
3, 1, 218
4, 3, 217
3, 1, 218
3, 1, 219
4, 0, 217
3, 1, 218
3, 1, 220
3, 2, 216
4, 1, 218
3, 1, 219
3, 1, 216
3, 0, 218
4, 1, 217
2, 1, 218
3, 0, 219
3, 0, 216
3, 2, 216
4, 0, 218
3, 1, 218
2, 1, 217
3, 1, 219
4, 2, 219
3, 1, 217
4, 1, 216
5, 0, 216
4, 1, 216
2, -1, 219
3, 1, 217
3, 0, 219
2, 1, 219
3, 1, 218
3, -1, 219
5, 0, 219
3, 1, 220
4, 2, 215
3, 2, 217
3, 1, 219
4, 3, 216
5, 2, 217
3, 0, 219
3, 1, 218
4, 2, 218
5, 0, 218
5, 0, 218
5, 2, 218
3, 1, 218
4, 1, 214
4, 0, 219
3, 1, 219
3, 2, 219
6, 2, 218
4, 2, 217
7, 1, 216
3, 1, 219
2, 2, 218
4, 1, 218
4, 0, 218
4, 1, 217
3, 0, 221
3, 1, 218
3, 0, 218
4, 1, 217
4, 1, 217
4, 2, 218
5, 0, 218
3, 1, 219
4, 3, 218
4, 2, 217
3, 0, 218
4, 1, 217
4, 1, 220
4, 0, 216
3, 2, 217
3, 1, 219
2, 1, 215
4, 1, 220
5, -1, 223
4, 2, 216
3, 3, 219
5, 0, 218
3, -1, 220
3, 1, 220
5, 2, 215
4, 1, 219
4, 0, 218
3, 1, 219
5, 1, 218
3, 1, 217
3, 1, 217
3, 1, 219
3, 1, 219
4, 1, 220
4, 2, 219
3, 1, 218
3, 1, 218
3, 2, 216
3, 1, 218
3, 1, 218
5, 1, 219
4, 1, 221
4, 2, 217
4, 1, 219
3, 1, 217
3, 1, 218
3, 1, 219
3, 1, 218
2, 1, 217
6, -1, 220
4, 1, 219
3, 1, 219
5, 2, 216
4, 1, 217
4, 0, 218
4, 0, 219
4, 1, 216
4, 1, 217
3, 0, 217
3, 1, 217
3, 2, 217
3, 1, 218
4, 1, 217
3, 1, 216
4, 3, 217
3, 2, 218
4, 2, 217
4, 2, 217
3, 1, 218
3, 3, 218
3, 0, 218
3, 1, 216
3, 1, 218
6, 1, 220
3, 1, 216
3, 1, 218
4, 1, 217
3, 0, 218
4, 1, 219
3, 1, 220
5, 1, 219
4, 5, 215
3, 2, 216
3, 2, 218
3, 2, 218
3, 1, 219
4, 1, 216
4, 0, 217
3, 1, 219
3, 1, 217
