x,y,z
-17, 3, 217
-19, 3, 216
-19, 5, 216
-16, 6, 215
-20, 2, 218
-17, 2, 219
-17, 4, 218
-18, 5, 218
-22, 5, 221
-19, 5, 216
-20, 5, 218
-17, 4, 216
-17, 3, 215
-18, 5, 216
-16, 4, 217
-19, 6, 215
-22, 6, 217
-20, 7, 219
-18, 6, 217
-12, 2, 219
-10, 1, 219
-13, 0, 222
-19, 5, 219
-22, 10, 218
-20, 7, 219
-19, 4, 222
-16, 6, 215
-12, 4, 216
-9, 4, 213
-15, 4, 217
-16, 2, 219
-18, 10, 213
-19, 6, 216
-18, 3, 216
-13, 4, 211
-9, 3, 213
-9, 1, 210
-8, 4, 213
-13, 5, 219
-16, 8, 216
-17, 7, 215
-19, 6, 215
-17, 4, 219
-12, 3, 217
-14, 3, 219
-11, 5, 214
-13, 4, 218
-14, 5, 220
-14, 4, 221
-13, 5, 220
-11, 5, 220
-11, 2, 220
-10, 5, 220
-3, 5, 216
-4, 4, 220
-5, 0, 218
-8, 0, 224
-7, 3, 220
-8, 4, 219
-5, 4, 219
-5, 2, 219
-6, 2, 220
-7, -2, 222
-3, 3, 215
-7, 1, 219
-7, 0, 220
-8, 2, 218
-10, 2, 219
-9, 3, 219
-8, 2, 220
-5, 1, 218
-7, -1, 219
-5, 2, 216
-9, 0, 219
-11, 2, 219
-11, 5, 217
-10, 5, 215
-5, 1, 214
-4, 1, 211
-4, 1, 214
-10, 0, 219
-12, 6, 214
-12, 5, 216
-11, 4, 215
-12, 4, 219
-12, 2, 218
-14, 1, 221
-14, 0, 220
-12, 2, 221
-11, 0, 223
-10, 4, 220
-5, 2, 222
-7, 0, 221
-4, 0, 223
-8, 1, 220
-8, 3, 219
-8, 4, 220
-5, 5, 220
-9, 4, 225
-9, 3, 230
-11, 4, 234
-14, 10, 237
-11, 14, 236
-10, 14, 241
-12, 10, 250
-15, 3, 252
-22, -7, 263
-22, -10, 246
-37, -12, 257
-47, -6, 243
-61, -1, 232
-58, 8, 224
-56, 9, 221
-57, 7, 220
-63, 10, 216
-81, -4, 222
-91, 0, 225
-97, -2, 213
-96, -2, 202
-96, -7, 200
-92, 1, 193
-98, -7, 196
-103, -32, 204
-93, -31, 186
-105, -36, 179
-116, -37, 184
-140, -26, 162
-160, -28, 156
-162, -34, 158
-149, -45, 164
-140, -39, 141
-142, -46, 141
-139, -52, 135
-176, -58, 130
