x, y, z
1, 2, 218
4, 1, 219
4, 1, 218
3, 2, 218
4, -1, 218
3, 1, 219
4, 0, 217
2, 0, 218
4, 1, 219
3, 1, 218
3, 0, 220
3, 0, 220
3, 2, 217
4, 2, 216
2, 2, 218
2, 2, 219
2, 2, 219
4, 3, 216
1, 1, 218
3, 1, 218
3, 1, 216
4, 1, 220
4, 1, 218
3, 1, 218
4, 2, 218
4, 0, 218
20, -6, 218
5, 3, 219
16, 1, 217
41, 0, 217
35, -1, 220
39, 1, 221
39, -4, 219
33, 3, 216
46, 15, 226
36, 4, 225
53, -6, 216
74, 4, 208
56, -9, 237
82, -2, 216
27, -4, 220
9, -11, 209
3, -5, 217
1, -9, 232
-6, -21, 230
-9, -15, 218
-37, -26, 233
-43, -5, 213
-65, 5, 208
-66, -1, 221
-64, 6, 212
-45, 0, 218
-58, 5, 220
-57, 9, 222
-41, 11, 218
-37, 8, 218
-1, 3, 217
0, 5, 217
-10, 15, 219
-8, 6, 223
-37, -3, 222
-38, 4, 218
-42, -3, 222
-34, -6, 217
-25, 3, 210
-35, 1, 211
-27, -6, 222
-24, -15, 221
-19, -15, 226
-41, 20, 215
-43, 30, 218
-35, 28, 223
-40, 24, 221
-42, 8, 209
-23, 1, 215
-21, -3, 228
-6, -3, 209
1, -15, 234
17, -7, 213
17, -6, 229
19, -3, 220
79, -10, 243
32, -24, 222
68, -13, 223
56, -15, 208
73, -19, 227
81, -15, 221
59, -4, 221
51, 2, 214
52, 11, 213
37, 7, 218
35, 13, 216
32, 12, 220
4, 0, 218
11, 1, 219
15, 7, 220
54, 10, 217
37, 2, 219
51, 4, 221
59, 0, 224
26, -8, 212
65, 8, 213
66, -5, 212
47, -12, 212
46, -5, 217
97, 9, 209
63, 11, 191
67, -14, 217
14, -21, 233
-13, -19, 224
16, 3, 228
36, 6, 209
-32, -7, 212
-40, -1, 226
-44, -6, 227
-26, -3, 215
-42, -5, 213
-36, 0, 209
-36, 6, 205
-59, 20, 219
-53, 19, 219
-56, 17, 222
-40, 12, 216
-47, 7, 219
-43, 3, 218
-9, 1, 215
4, 2, 216
-11, 4, 222
-41, -8, 217
-49, 1, 216
-38, 1, 218
-50, -5, 217
-57, -11, 225
-41, -6, 226
-23, 4, 215
-48, 1, 213
-49, -4, 226
-37, -7, 214
-38, -12, 212
-31, -10, 216
-8, 4, 218
6, 12, 218
-8, 9, 227
34, -6, 228
14, 1, 213
17, -4, 240
48, 0, 230
38, -1, 222
56, 10, 222
59, 14, 214
56, 10, 212
61, -2, 224
69, -7, 217
69, -9, 217
65, -6, 218
34, 3, 217
5, -1, 220
2, 0, 218
2, 1, 219
3, 0, 219
2, 0, 216
9, 2, 218
4, 2, 218
2, -2, 220
0, -2, 218
-1, 0, 218
1, 2, 217
2, 0, 223
2, 2, 217
3, 1, 218
2, 0, 218
3, 2, 220
3, 1, 219
3, 1, 217
3, 1, 218
2, 0, 219
2, 2, 218
5, -2, 219
3, 0, 218
3, -1, 218
4, -1, 219
2, 1, 217
3, 2, 217
3, 2, 215
3, 1, 220
3, 1, 216
3, 1, 216
3, 1, 218
3, 0, 221
3, 2, 219
4, 2, 219
3, 4, 219
3, 0, 219
2, 0, 217
3, 1, 219
3, 1, 218
2, 0, 218
4, 0, 219
3, 2, 214
4, 3, 214
2, 0, 219
3, 0, 218
3, 1, 219
1, 1, 218
2, 1, 219
3, 0, 218
4, 2, 216
3, -1, 218
3, 0, 219
2, 0, 219
3, 1, 217
1, 2, 219
3, 1, 219
4, 1, 219
3, 0, 219
3, 0, 219
4, 1, 219
3, 0, 220
3, 0, 218
3, -3, 218
4, 1, 217
3, 2, 217
3, 0, 220
2, 1, 222
3, 1, 219
3, 2, 216
3, 2, 216
3, 1, 219
2, 0, 217
5, -1, 220
3, 1, 220
3, 1, 216
3, 1, 221
5, -2, 221
2, 3, 220
2, 1, 219
5, 0, 216
6, 1, 216
13, -2, 218
42, -2, 220
23, 3, 220
19, -6, 224
5, 0, 219
69, 5, 220
58, 7, 217
49, 15, 218
43, 5, 226
59, -9, 225
27, -6, 218
21, -8, 231
-22, 1, 208
7, -4, 222
17, -2, 211
40, 4, 220
24, 5, 229
11, 9, 237
26, -3, 222
-23, -15, 217
-15, -14, 213
-60, -21, 230
-68, -5, 211
-53, -6, 227
-51, 8, 225
-64, 8, 226
-65, 11, 222
-64, 12, 213
-48, 6, 217
-22, 0, 227
2, 2, 220
-17, 3, 207
-17, -3, 219
-63, -11, 218
-42, 0, 221
-54, 2, 221
-48, -1, 212
-21, 2, 228
-30, 4, 220
-32, 9, 212
-33, 15, 212
-45, 2, 211
-23, 1, 212
-23, 3, 209
-18, 1, 225
-6, -4, 221
-13, -2, 205
40, 7, 228
10, 0, 220
-7, -3, 226
-11, -6, 221
26, 0, 219
26, -12, 223
42, -23, 213
46, -20, 231
59, -15, 216
60, -13, 227
41, -6, 214
45, 13, 214
59, 2, 225
45, -1, 215
44, 3, 220
53, 9, 219
42, 16, 217
6, 1, 219
7, 0, 217
9, 1, 216
33, 2, 219
56, 4, 224
43, 13, 212
38, 0, 217
39, 4, 222
37, 10, 223
31, 7, 225
33, 3, 214
55, 0, 219
76, -9, 227
56, -15, 220
79, -29, 220
34, -39, 217
32, -22, 198
14, 1, 202
0, 27, 223
14, 12, 223
-5, -8, 209
-27, -8, 215
-16, -15, 235
-23, -3, 223
-18, 0, 229
-38, 7, 201
-50, 22, 216
-49, 26, 227
-30, -1, 225
-43, 1, 221
-31, -1, 226
-33, 1, 222
-50, 1, 217
-26, 1, 220
-24, -1, 219
1, 0, 220
-8, 1, 218
-6, -3, 218
-21, -13, 222
-37, -1, 218
-40, 1, 220
-51, 0, 213
-47, -8, 219
-46, 1, 219
-14, 16, 227
-25, 13, 216
-27, 7, 221
-49, -6, 222
-32, -3, 220
-27, -14, 237
-2, -11, 226
21, -14, 234
14, -7, 222
-4, 2, 214
22, 9, 203
20, 5, 215
35, 9, 212
54, 6, 210
70, 3, 224
73, -12, 225
63, 2, 210
54, -3, 213
67, 3, 217
64, -3, 223
50, 1, 222
34, -1, 217
8, -1, 214
4, -1, 219
3, 0, 219
8, -1, 220
4, 2, 216
5, 0, 218
4, 1, 218
5, 0, 220
8, 3, 218
1, -1, 216
2, 0, 214
1, -1, 220
2, 1, 219
1, -1, 220
2, 1, 215
3, 2, 216
2, 1, 217
3, 1, 217
3, 1, 216
3, 2, 214
3, 1, 218
2, 1, 218
3, -1, 221
3, 0, 218
2, -1, 220
3, -3, 220
4, -1, 218
5, -2, 219
2, -1, 219
3, -1, 220
1, 0, 219
2, -1, 220
1, -4, 218
4, -5, 219
3, 1, 218
3, 2, 216
2, 2, 219
2, 1, 220
3, -3, 222
2, 3, 219
3, 3, 216
3, 1, 216
2, 0, 218
1, 0, 219
3, -1, 217
3, 1, 217
2, 2, 219
3, 2, 218
2, 1, 219
2, 1, 220
4, 1, 218
3, 0, 219
3, -2, 218
2, 1, 217
3, 0, 218
3, 0, 216
4, 0, 216
2, 0, 218
3, 1, 219
2, 0, 218
3, 1, 219
4, -1, 218
3, -1, 218
4, 0, 214
3, 1, 217
2, 0, 221
2, 0, 219
3, 0, 219
4, -1, 218
3, 1, 217
2, 0, 219
4, 1, 217
4, 0, 215
2, 1, 218
2, 1, 219
3, -1, 220
4, 0, 219
2, -1, 219
4, -1, 219
3, 1, 218
3, 1, 218
3, 1, 220
2, 1, 220
1, 1, 216
1, -2, 215
2, -1, 219
3, 2, 220
3, -3, 221
3, 1, 217
5, 1, 218
2, 3, 218
2, 3, 219
2, 0, 218
3, 0, 217
2, 0, 217
3, -2, 219
3, 1, 218
3, -1, 220
4, -2, 219
3, -2, 221
3, -2, 221
3, 2, 218
2, 0, 219
3, 2, 220
2, 1, 219
3, 1, 218
4, 0, 218
2, 0, 217
3, 0, 221
2, 0, 218
3, 0, 220
3, 0, 217
2, -2, 217
2, 0, 219
3, 0, 218
4, 0, 218
2, 0, 217
3, -2, 219
3, 0, 218
3, 0, 219
4, 1, 216
3, -1, 217
1, 0, 220
3, 0, 217
2, 1, 216
3, 0, 215
2, 0, 220
2, 1, 219
2, 0, 218
2, 2, 219
1, 0, 221
3, 1, 220
2, 1, 218
2, 1, 216
2, 0, 217
3, -1, 216
2, 0, 217
4, -1, 218
1, 1, 222
5, -2, 218
4, -2, 218
2, 0, 218
3, 1, 219
4, 0, 217
2, 1, 218
2, 1, 218
3, 0, 216
3, 0, 218
2, 1, 218
2, 0, 219
2, 1, 218
2, 1, 218
2, 2, 216
3, -1, 218
2, 1, 218
4, 1, 215
3, 0, 218
3, 2, 219
3, 0, 218
3, -1, 219
2, 1, 216
3, 0, 217
2, 1, 216
4, 0, 218
3, 0, 217
3, -2, 218
2, 0, 219
2, 1, 219
3, -1, 218
4, -1, 219
2, 1, 218
3, 0, 220
4, 0, 218
2, 0, 219
2, -2, 221
1, 0, 218
2, 0, 217
3, 2, 215
4, -1, 221
3, 0, 219
3, 0, 218
3, 0, 220
3, 2, 218
4, -1, 218
2, 0, 220
3, 1, 218
4, 1, 216
4, 0, 218
3, 0, 219
5, -1, 218
4, -1, 218
3, 3, 218
3, 0, 218
2, -1, 218
3, 0, 217
2, 3, 215
2, 0, 217
4, 1, 218
7, 15, 218
-1, -9, 221
5, 1, 223
1, 0, 220
-1, -12, 216
2, 2, 219
2, 0, 222
3, -1, 220
3, 0, 217
2, 0, 219
2, -3, 217
3, 0, 219
4, -2, 218
5, -1, 220
4, -3, 217
3, 1, 213
4, -1, 219
3, -1, 218
3, 1, 217
3, 1, 218
1, -16, 215
11, -16, 215
0, -5, 218
3, 17, 219
1, 15, 218
2, 9, 219
4, 4, 218
3, 2, 217
4, 1, 219
6, 0, 218
3, -3, 218
3, -4, 220
3, -2, 219
5, -7, 217
2, -3, 216
7, -3, 219
13, -4, 218
134, 0, 223
64, -4, 223
35, 10, 213
52, -14, 227
39, 10, 202
58, 22, 200
71, -6, 230
42, -22, 222
44, -6, 223
14, -23, 210
10, -8, 210
25, 0, 220
16, -1, 208
-56, 13, 187
-42, 3, 214
-32, 4, 215
-50, 3, 270
-47, 10, 229
-42, 17, 225
-35, 11, 230
-28, 5, 225
-72, 3, 171
-4, 12, 244
5, 11, 212
-19, 0, 226
-2, 9, 215
4, 0, 228
-4, 11, 223
-3, 18, 221
-34, -17, 215
-49, -10, 202
-2, 0, 229
-18, 4, 220
-22, 3, 217
-15, 3, 214
-11, 3, 221
-12, 6, 227
-27, 15, 219
-31, 15, 226
-43, 5, 216
-42, 3, 214
-38, -7, 214
-28, -7, 222
-26, -13, 230
-15, -7, 222
-52, -1, 212
3, 5, 223
-11, 5, 215
5, 15, 237
22, 8, 243
44, 12, 202
41, -10, 215
33, 8, 217
67, -14, 237
50, -19, 216
42, 1, 225
56, 4, 230
50, 6, 219
48, -3, 223
44, -3, 215
37, -10, 221
40, -9, 220
31, -1, 219
27, -1, 218
5, 2, 215
6, 3, 220
9, 11, 218
10, 16, 220
78, 18, 222
32, -1, 221
13, -6, 219
25, -4, 217
49, -3, 218
24, -9, 222
32, 6, 209
72, 11, 206
43, -8, 216
34, -2, 220
46, 8, 234
50, 4, 234
45, -20, 221
-2, -19, 216
-4, -31, 212
11, 9, 225
-4, -12, 214
-31, -18, 217
-22, -5, 228
-5, 9, 212
-44, 5, 226
-42, 11, 224
-33, 6, 222
-30, 2, 225
