x, y, z
-21, 111, 242
-13, 155, 219
-16, 190, 227
-6, 197, 221
-2, 207, 220
23, 200, 218
12, 144, 222
-8, 117, 220
23, 37, 221
12, 5, 216
6, 1, 219
6, -1, 219
3, 0, 217
4, 0, 217
3, 1, 216
3, 1, 220
5, 1, 219
3, 0, 221
3, 2, 217
3, 2, 220
4, 0, 219
3, 1, 218
4, 2, 217
2, 1, 219
4, 1, 219
3, 3, 218
4, 1, 217
3, 1, 218
6, 1, 216
3, 2, 218
3, 1, 218
4, 0, 219
4, 0, 217
4, 0, 218
4, -1, 221
2, 0, 220
5, 1, 218
3, 0, 218
4, 0, 217
4, 0, 220
4, -1, 220
5, 1, 219
1, 1, 218
3, -1, 219
4, 0, 219
5, 0, 216
3, 1, 220
3, 2, 219
2, 2, 217
4, 1, 217
3, 1, 219
4, 1, 216
4, 1, 216
3, 2, 219
4, 2, 216
3, 1, 216
3, 0, 219
3, 0, 218
3, 0, 219
4, 1, 217
4, 0, 218
4, 1, 218
4, 2, 218
3, 1, 218
2, 0, 218
3, 0, 218
3, -1, 222
4, 3, 218
6, 1, 217
2, 1, 217
2, 1, 216
4, 2, 218
4, 2, 217
5, 1, 216
4, 1, 217
3, 0, 219
4, 2, 216
4, 1, 218
2, 1, 214
3, 0, 217
4, 0, 217
4, 0, 217
4, 0, 219
3, 1, 218
4, 1, 218
5, -1, 218
4, 0, 217
4, 2, 217
3, 0, 218
4, 0, 219
2, 1, 218
3, 2, 216
2, 1, 220
3, 1, 218
3, 3, 215
3, 1, 218
4, 1, 216
2, 1, 219
0, 24, 221
3, 90, 222
-54, 103, 227
-14, 144, 226
26, 178, 225
16, 169, 222
14, 134, 227
2, 130, 218
-2, 114, 225
2, 71, 228
7, 87, 216
-8, 50, 214
-8, -28, 205
-27, -71, 216
-18, -146, 218
18, -153, 213
11, -175, 222
3, -160, 220
12, -115, 214
-2, -121, 209
-16, -100, 219
-12, -53, 221
-17, -31, 217
5, 1, 218
5, 3, 215
4, 3, 218
4, 2, 218
6, 4, 215
5, 3, 217
-10, -3, 217
5, 1, 218
3, 0, 219
4, 0, 219
9, 1, 219
7, 1, 219
10, 0, 217
6, -3, 219
4, -7, 220
7, -8, 219
5, -9, 218
5, -7, 218
2, -16, 218
0, -31, 215
-8, -71, 219
-14, -90, 222
6, -134, 213
-10, -169, 216
28, -154, 215
14, -190, 222
5, -173, 209
1, -178, 209
-13, -100, 232
-40, -65, 228
-23, -29, 242
4, 67, 231
7, 74, 218
0, 81, 234
21, 188, 207
29, 209, 231
20, 210, 237
21, 237, 225
-17, 229, 214
-2, 200, 223
3, 135, 214
-10, 17, 218
3, 4, 218
9, -3, 217
11, -6, 217
3, -2, 222
4, 1, 217
2, 2, 219
2, 1, 218
2, 0, 219
3, 1, 219
3, 2, 217
2, 1, 219
2, 1, 218
5, 0, 218
3, 2, 216
2, 1, 219
1, 3, 219
2, 2, 218
0, 1, 216
1, 2, 217
1, 2, 218
2, 2, 219
0, 2, 219
2, 2, 217
2, 2, 217
3, 0, 220
3, 1, 218
3, 1, 221
2, 1, 218
2, 2, 218
3, 2, 216
1, 1, 220
2, 1, 218
4, 2, 218
1, 2, 218
2, 2, 216
4, 1, 217
2, 2, 218
2, 3, 219
2, 3, 219
2, 1, 219
2, 2, 217
2, 3, 217
2, 2, 218
3, 1, 217
3, 1, 216
3, 1, 217
1, 0, 219
4, -1, 220
2, 3, 217
3, 1, 218
1, 2, 219
1, 1, 218
1, 2, 218
2, 2, 219
2, 2, 220
3, 2, 218
3, 1, 218
3, 1, 218
3, 2, 219
2, 1, 218
3, 1, 218
4, 0, 217
2, 1, 216
3, 3, 216
1, 1, 220
2, 2, 218
2, 2, 220
4, 1, 219
3, 2, 218
2, 2, 218
4, 1, 220
2, 2, 218
1, 1, 219
3, 2, 218
2, 2, 218
3, 1, 220
2, 3, 219
-6, 48, 220
12, 65, 219
3, 208, 228
-1, 246, 228
7, 286, 225
-52, 251, 226
-24, 239, 227
-93, 141, 213
-82, 93, 215
-46, 61, 221
-13, 17, 200
10, -82, 214
7, -162, 181
48, -242, 218
1, -281, 214
-7, -268, 205
4, -234, 217
19, -193, 215
-2, -159, 220
6, -3, 220
10, 1, 215
10, -7, 217
-2, -1, 219
14, 11, 219
3, 14, 217
1, 19, 220
6, 2, 220
