x,y,z
-19, -14, -298
-17, -24, -292
-18, -33, -297
-25, -53, -298
-16, -59, -290
-10, -55, -296
-43, -25, -277
-39, -29, -285
-16, -42, -278
-13, -43, -290
-20, -37, -307
-28, -41, -292
-34, -38, -294
-25, -30, -334
-12, -11, -376
-19, 2, -376
-32, 7, -357
-38, 21, -318
-56, 59, -301
-55, 71, -296
-54, 92, -298
-37, 98, -289
-22, 77, -232
-36, 92, -133
-53, 110, -90
-22, 146, -137
-15, 176, -162
-17, 209, -188
1, 205, -159
-24, 220, -117
-54, 260, -108
-47, 253, -105
-30, 233, -65
24, 217, -51
15, 228, -62
-30, 247, -3
-39, 288, 2
-39, 290, 5
-20, 257, -2
10, 218, 0
16, 170, -1
-41, 191, 138
-66, 204, 160
-76, 231, 157
-75, 237, 137
1, 123, 133
40, 95, 143
42, 66, 170
-23, 108, 256
-73, 137, 283
-89, 136, 211
3, 60, 155
47, 40, 154
66, 15, 167
81, 1, 153
15, -1, 241
-48, 21, 310
-83, 50, 328
-68, 57, 272
-35, 35, 261
-3, 11, 266
0, -2, 252
-17, 7, 233
-24, -3, 281
-19, -5, 256
9, -17, 228
14, -9, 219
16, -14, 220
5, -7, 224
-7, 0, 237
-17, 10, 229
-14, 0, 224
-8, -16, 227
-10, -18, 224
-7, -14, 212
-5, -8, 207
-7, -34, 221
-7, -36, 209
-5, -47, 212
-7, -49, 217
-5, -54, 216
-4, -50, 212
-4, -50, 216
-7, -42, 214
-12, -38, 226
-13, -29, 213
-4, -37, 217
0, -36, 213
-2, -29, 210
-4, -39, 219
-5, -39, 221
-13, -36, 218
-15, -31, 217
-17, -28, 221
-13, -33, 220
0, -38, 216
-4, -35, 213
-9, -31, 214
-9, -27, 210
-13, -27, 213
-11, -32, 213
-7, -27, 210
-4, -27, 206
-7, -29, 214
-7, -25, 211
-15, -25, 216
-16, -30, 223
-15, -33, 219
-8, -30, 214
-5, -27, 210
-11, -21, 206
-13, -25, 211
-13, -27, 218
-3, -31, 209
-4, -28, 207
-4, -32, 211
-4, -26, 210
-7, -26, 213
-6, -29, 222
-6, -28, 227
-5, -36, 238
-1, -44, 243
-15, -50, 263
-30, -46, 267
-26, 8, 205
-11, 10, 207
-14, 29, 205
-18, 39, 228
-21, 48, 234
-21, 32, 249
-8, 29, 257
6, 45, 225
-8, 74, 182
-10, 100, 176
-33, 132, 173
-31, 140, 186
-29, 158, 170
-28, 177, 164
-22, 180, 146
-14, 184, 148
-16, 191, 147
-28, 208, 123
-25, 202, 138
-26, 210, 125
-33, 209, 114
-16, 231, 84
-17, 237, 81
-21, 254, 63
-35, 253, 60
-50, 256, 52
-44, 251, 38
-38, 253, 36
-33, 262, 7
-42, 267, 1
-52, 281, -21
-48, 261, -8
-39, 264, -42
-37, 264, -54
-47, 285, -90
-40, 281, -109
-29, 261, -131
-24, 244, -130
-28, 228, -140
-14, 211, -158
-28, 194, -166
-17, 189, -186
-7, 159, -189
-5, 138, -184
-8, 138, -202
-15, 146, -246
-8, 152, -256
-16, 126, -264
-17, 119, -257
8, 106, -260
-4, 96, -262
-41, 67, -283
-41, 58, -316
-17, 38, -300
-17, 9, -257
-29, 12, -264
-42, 19, -320
-37, 34, -323
-34, 17, -295
-32, -2, -289
-5, -26, -289
-17, -34, -301
-19, -23, -303
-14, -42, -295
-20, -60, -279
-22, -50, -282
-27, -44, -299
-25, -50, -286
-20, -52, -277
-23, -42, -285
-38, -15, -299
-36, -17, -311
-31, -20, -329
-18, -47, -316
-17, -45, -288
-14, -28, -310
-20, 25, -325
-20, 50, -354
-31, 68, -338
-34, 76, -320
-43, 82, -285
-60, 107, -209
-46, 122, -237
-9, 124, -236
-36, 154, -170
-34, 164, -178
-41, 189, -119
-10, 185, -99
11, 195, -95
17, 223, -91
10, 248, -126
-78, 284, -8
-78, 269, 4
-62, 257, 1
-12, 234, -15
-1, 228, -18
56, 238, -37
29, 213, -11
-107, 276, 188
-100, 262, 138
-53, 235, 120
-34, 218, 116
8, 179, 96
57, 115, 98
15, 64, 229
-24, 69, 265
-50, 87, 237
-18, 122, 186
-2, 153, 169
10, 150, 186
12, 94, 147
53, 9, 179
57, -27, 189
11, -21, 264
-54, 8, 253
-49, 9, 234
-20, 11, 202
48, -50, 187
75, -73, 198
37, -68, 208
-8, -42, 239
-31, -45, 226
-5, -58, 223
25, -88, 230
20, -81, 229
-6, -72, 239
-12, -75, 247
-30, -74, 268
-23, -80, 259
0, -68, 233
0, -63, 213
2, -65, 214
2, -70, 221
1, -70, 226
-3, -69, 227
-4, -63, 225
4, -68, 218
11, -58, 197
11, -55, 199
5, -55, 208
1, -50, 209
0, -44, 212
2, -53, 212
5, -53, 209
4, -51, 210
0, -47, 206
-4, -44, 207
-6, -44, 211
-4, -51, 209
0, -54, 206
-4, -52, 213
-2, -54, 215
-5, -49, 212
-10, -43, 212
-9, -43, 214
-4, -48, 213
-1, -49, 212
-2, -48, 206
-3, -47, 207
-9, -47, 211
-10, -43, 211
-2, -50, 213
-1, -49, 213
-2, -43, 210
-7, -45, 215
-13, -42, 217
-12, -46, 220
-4, -46, 214
-2, -48, 212
-2, -43, 206
-4, -44, 206
-5, -42, 208
-10, -39, 213
-9, -41, 212
-6, -44, 211
-3, -47, 211
-1, -46, 208
-1, -47, 210
-6, -45, 215
-8, -45, 215
-9, -44, 214
-4, -45, 214
-7, -47, 217
-4, -50, 221
-1, -47, 220
-1, -46, 225
-6, -42, 226
-12, -41, 225
-11, -45, 228
-3, -40, 228
-2, -39, 230
-5, -34, 235
-11, -31, 227
-12, -24, 238
-8, -29, 244
-1, -39, 256
5, -26, 251
-1, -16, 248
-6, 6, 233
-18, 47, 213
-35, 110, 187
-24, 140, 164
-24, 139, 165
-23, 137, 158
-10, 151, 137
0, 159, 148
-16, 189, 123
-30, 197, 139
-21, 207, 107
-13, 205, 111
-7, 195, 106
-11, 193, 99
-1, 216, 57
-11, 245, 32
-50, 288, -3
-59, 288, 0
-52, 291, -8
-36, 262, -17
-17, 254, -30
-25, 253, -54
-25, 265, -56
-37, 288, -94
-46, 287, -105
-47, 257, -90
-20, 203, -93
-2, 184, -99
-17, 214, -163
-35, 222, -176
-42, 231, -225
-28, 168, -211
-8, 152, -208
-26, 153, -206
-32, 199, -287
-32, 183, -290
-7, 113, -251
-2, 99, -246
-33, 110, -259
-37, 118, -289
-40, 92, -288
-24, 64, -274
-17, 53, -283
-31, 46, -273
-31, 46, -283
-28, 39, -277
-30, 24, -279
-31, 17, -287
-25, 16, -312
-28, 11, -292
-20, -8, -283
-30, -6, -282
-35, -14, -276
-37, -16, -300
-37, -28, -271
-40, -13, -299
-46, -6, -301
-46, -6, -271
-39, -6, -282
-45, -1, -293
-34, -7, -320
-38, -20, -327
-36, -30, -328
-38, -27, -328
-29, -3, -353
-32, 19, -356
-36, 41, -363
-44, 55, -339
-50, 76, -324
-62, 112, -288
-64, 116, -268
-35, 117, -238
-17, 125, -212
-21, 134, -172
-54, 181, -106
-52, 220, -110
-21, 212, -114
6, 200, -118
19, 185, -96
-3, 206, 17
-35, 240, 40
-68, 242, 44
-45, 241, 31
-5, 236, 18
16, 220, 18
22, 196, 23
-19, 228, 113
-50, 270, 138
-51, 235, 104
-26, 225, 104
-4, 203, 96
12, 208, 99
17, 207, 82
-25, 221, 150
-46, 217, 190
-26, 151, 199
-18, 124, 173
3, 102, 186
17, 115, 174
27, 100, 171
15, 98, 195
14, 51, 207
7, 60, 220
1, 67, 206
-1, 47, 218
16, 29, 215
27, 23, 210
24, 16, 219
-6, 19, 261
-4, 18, 248
0, 11, 224
8, 18, 238
3, 9, 236
8, 15, 235
6, 19, 234
-7, 12, 251
-15, 21, 252
-17, 19, 247
-3, 9, 242
1, 7, 234
2, 10, 228
2, 10, 223
4, 10, 219
2, 14, 204
2, 14, 217
1, 15, 227
2, 3, 224
3, 3, 226
5, 5, 222
3, 12, 206
3, 6, 216
2, 9, 220
-3, 6, 226
-1, 5, 224
-1, 8, 217
1, 8, 215
3, 6, 222
3, 4, 222
4, 4, 217
4, 4, 219
6, 2, 219
3, 13, 208
1, 15, 207
3, 8, 222
4, 4, 222
1, 8, 222
-3, 14, 217
-1, 12, 220
3, 10, 222
-1, 12, 214
1, 11, 218
2, 13, 219
0, 13, 219
-3, 15, 217
0, 10, 221
-1, 12, 209
0, 14, 213
1, 15, 218
1, 13, 217
-3, 14, 218
0, 12, 221
1, 11, 218
1, 13, 219
3, 11, 210
1, 12, 212
4, 7, 218
2, 8, 219
-1, 14, 216
-1, 11, 224
1, 15, 222
0, 18, 215
4, 11, 213
6, 11, 212
3, 10, 213
3, 10, 215
-1, 11, 218
2, 14, 216
0, 13, 214
0, 11, 221
0, 12, 214
3, 8, 217
4, 4, 218
5, 3, 217
5, 4, 214
3, 5, 210
3, 9, 221
-2, 16, 217
-3, 12, 217
0, 6, 215
0, 7, 212
0, 10, 210
-1, 9, 210
1, 7, 212
0, 7, 212
-2, 4, 209
0, 0, 208
1, 0, 208
3, 0, 203
1, -2, 203
2, -2, 200
4, -4, 203
9, -12, 199
5, -12, 196
-9, -16, 190
-6, 1, 205
-10, -7, 200
-16, 2, 209
-24, 2, 212
-15, -1, 209
1, -15, 213
0, -16, 220
-6, -8, 221
-21, 0, 207
-17, 0, 204
-17, 5, 205
-17, -2, 208
-22, -3, 230
-22, -9, 229
-18, -13, 223
-26, 7, 198
-39, 0, 206
-31, -8, 204
-23, -22, 213
-29, -20, 216
-24, -13, 218
-28, -19, 210
-22, -19, 206
-21, -22, 217
-68, -31, 177
-38, -16, 235
-22, -7, 230
-15, 2, 217
-23, -18, 217
-21, -25, 234
-18, -27, 228
-28, -23, 200
-19, -18, 188
-20, -26, 197
-7, -28, 194
-4, -39, 229
-9, -29, 234
-12, -17, 228
-4, -27, 222
-18, -28, 209
-53, -41, 203
-40, -39, 233
-52, -39, 229
-38, -31, 221
-32, -25, 219
-56, -4, 340
-102, -31, 318
-74, -9, 252
-69, -32, 237
101, -29, 196
-73, 72, 168
-71, 60, 123
-75, 46, 107
-114, 74, 203
-87, 58, 254
-66, 15, 289
-55, 20, 289
-59, 14, 202
-59, 32, 203
-37, 27, 106
-34, 40, 68
-46, 84, 134
16, 68, 326
-59, -16, 287
-41, 63, 170
-59, 56, 164
-25, 45, 142
-6, -103, 252
11, -20, 231
32, -2, 355
10, -14, 382
2, -25, 292
3, -5, 199
-2, 0, 194
1, 0, 185
18, -1, 248
13, 9, 221
26, 28, 226
-1, 1, 218
-6, 1, 220
-10, -8, 216
-2, -5, 223
-12, -31, 222
12, -33, 223
12, 6, 216
4, -5, 223
4, 0, 221
4, 1, 218
4, 4, 216
4, 1, 218
4, 1, 216
4, 0, 219
3, 3, 218
5, 2, 216
4, -1, 218
5, 1, 218
4, -1, 219
3, 1, 219
4, 2, 217
5, 1, 218
4, 1, 216
3, 2, 218
4, 0, 219
4, 0, 224
6, 0, 218
4, 2, 218
6, 1, 218
6, 1, 221
4, 1, 218
4, 1, 220
4, 1, 219
5, 0, 222
6, 1, 219
5, 1, 217
5, 1, 218
4, 1, 221
6, -1, 220
5, 0, 220
5, 0, 218
5, 2, 216
5, 1, 220
5, 1, 219
4, 1, 217
4, 3, 218
3, 1, 218
5, 1, 222
5, 0, 220
4, 2, 217
5, 1, 219
4, 1, 217
5, 1, 217
5, 1, 218
4, 1, 220
3, 1, 218
5, -1, 217
3, 2, 219
6, -1, 218
7, 0, 218
4, 3, 216
5, 2, 218
4, 1, 218
4, 1, 220
6, 1, 220
6, 0, 222
5, 1, 218
3, 1, 219
4, 1, 220
5, 2, 218
4, 1, 219
5, 1, 219
3, 3, 215
5, -1, 218
5, 0, 218
4, 1, 218
6, 3, 215
3, 1, 219
5, 1, 218
6, 0, 218
6, 0, 220
5, 1, 215
4, 0, 218
4, 1, 219
4, 2, 218
3, -1, 219
6, 1, 218
5, 1, 216
5, 1, 220
5, 0, 218
4, 2, 218
3, 1, 219
3, 2, 219
3, 2, 218
5, 2, 220
4, 1, 220
4, 1, 218
4, 1, 219
4, 2, 218
5, 1, 218
4, 2, 218
4, 1, 219
3, 2, 217
6, 1, 219
6, 0, 220
5, 2, 217
4, 1, 217
5, 2, 216
6, 0, 217
4, 2, 219
4, 4, 216
6, 1, 217
6, -1, 217
7, 0, 218
5, 1, 219
4, 1, 218
5, 0, 222
4, 1, 218
4, 1, 218
4, 2, 219
3, 1, 220
3, 3, 219
3, 1, 223
4, 1, 217
5, 2, 216
5, 2, 220
5, 2, 220
5, 1, 219
4, 2, 217
4, -1, 219
3, 1, 218
5, 1, 219
4, 1, 218
4, 1, 217
3, 2, 218
4, 1, 218
4, 0, 221
5, -1, 217
5, 1, 220
3, 0, 216
5, 1, 218
5, 3, 215
5, 4, 216
4, 2, 217
4, 0, 218
5, 1, 218
4, 0, 217
4, 1, 219
3, 2, 216
4, 2, 218
4, 1, 216
4, 2, 219
4, 2, 215
4, 0, 219
4, 1, 218
3, 1, 219
5, 2, 217
5, 1, 217
5, 2, 216
4, 2, 215
3, 1, 217
3, 1, 218
5, 1, 219
4, 1, 218
3, 3, 218
4, -1, 223
4, 2, 219
4, 1, 218
3, 1, 220
3, 1, 220
4, 1, 218
5, 4, 213
3, 1, 217
5, 0, 217
5, 1, 215
5, 2, 219
4, 1, 218
5, -1, 223
3, 0, 217
4, 1, 217
3, 1, 217
5, 1, 217
