x,y,z
-60, -30, 186
-33, -37, 205
-20, -26, 206
-28, -35, 198
-29, -30, 194
-55, -56, 188
-58, -51, 183
-52, -40, 185
-41, -32, 201
-41, -37, 208
-49, -35, 212
-54, -30, 206
-53, -29, 203
-53, -31, 200
-62, -37, 200
-48, -29, 220
-45, -25, 214
-46, -27, 210
-49, -28, 199
-59, -40, 204
-57, -35, 206
-48, -18, 211
-52, -18, 217
-54, -25, 214
-51, -28, 214
-48, -30, 206
-44, -27, 213
-44, -24, 215
-46, -27, 215
-50, -30, 212
-47, -20, 216
-47, -20, 219
-34, -28, 213
-33, -33, 218
-45, -29, 210
-42, -25, 207
-43, -27, 218
-36, -20, 215
-36, -28, 213
-42, -29, 200
-47, -32, 203
-39, -28, 210
-40, -30, 215
-38, -24, 213
-42, -24, 216
-39, -25, 216
-40, -25, 209
-37, -29, 211
-39, -24, 208
-40, -26, 209
-44, -29, 213
-45, -29, 215
-39, -23, 209
-39, -27, 209
-33, -31, 213
-37, -28, 211
-40, -20, 217
-39, -17, 221
-39, -15, 223
-31, -25, 214
-29, -29, 215
-38, -29, 207
-39, -26, 206
-28, -27, 212
-31, -26, 215
-35, -21, 215
-40, -20, 215
-37, -20, 216
-36, -23, 212
-36, -26, 212
-34, -29, 206
-34, -29, 202
-39, -29, 203
-37, -29, 202
-40, -29, 197
-41, -34, 184
-50, -47, 152
-60, -65, 104
-55, -60, 82
-35, -47, 23
-2, -34, 44
44, -36, 96
146, -60, 199
160, -56, 205
180, 27, 160
178, 43, 131
219, 32, 56
225, 15, 26
226, 25, 23
286, 80, 40
314, 80, 48
334, 72, 62
372, 74, 121
382, 62, 162
427, -16, 240
432, -42, 270
418, -15, 274
403, 11, 237
354, 68, 125
335, 95, 60
268, 98, -14
242, 83, -27
229, 67, -26
203, 19, -28
223, 36, 77
248, 38, 99
249, 32, 93
258, 48, 105
276, 24, 106
276, 18, 118
286, 33, 138
286, 30, 151
281, 34, 168
271, 13, 188
272, 0, 230
270, 39, 297
270, 61, 312
258, 127, 262
253, 114, 246
244, 124, 187
218, 100, 164
155, 41, 107
109, 0, 64
-1, -144, 61
-27, -142, 51
-65, -72, 20
-61, -32, 21
-56, 1, 58
-49, -15, 157
-44, -35, 180
-35, -49, 202
-25, -48, 202
-25, -39, 204
-30, -32, 191
-41, -30, 183
-48, -21, 189
-50, -26, 198
-45, -28, 207
-36, -28, 212
-38, -29, 225
-40, -27, 224
-51, -30, 215
-57, -31, 207
-58, -28, 195
-57, -34, 202
-57, -38, 211
-58, -28, 216
-61, -32, 216
-59, -31, 208
-58, -34, 202
-54, -36, 205
-47, -36, 202
-41, -33, 207
-42, -35, 210
-51, -30, 215
-55, -24, 215
-51, -22, 210
-41, -31, 207
-40, -37, 207
-48, -38, 199
-53, -33, 207
-45, -22, 214
-41, -24, 218
-42, -24, 223
-45, -28, 216
-46, -31, 209
-49, -35, 201
-50, -32, 202
-42, -29, 206
-39, -25, 209
-45, -24, 210
-43, -21, 217
-39, -20, 216
-40, -22, 213
-42, -29, 212
-40, -32, 207
-45, -30, 208
-43, -23, 206
-45, -23, 211
-40, -21, 219
-37, -21, 221
-38, -24, 218
-40, -25, 215
-41, -30, 205
-43, -31, 208
-43, -28, 206
-42, -25, 214
-40, -20, 220
-33, -23, 216
-35, -22, 213
-40, -25, 208
-41, -28, 211
-40, -23, 209
-36, -22, 213
-35, -22, 217
-37, -25, 212
-41, -26, 213
-46, -21, 209
-46, -25, 209
-44, -28, 207
-42, -24, 211
-38, -25, 217
-36, -24, 217
-32, -22, 218
-34, -22, 216
-33, -18, 206
